20170102 033800;1.051300;1.051320;1.051150;1.051320;0
20170102 033900;1.051300;1.051400;1.051210;1.051320;0
20170102 034000;1.051320;1.051560;1.051150;1.051170;0
20170102 034100;1.051150;1.051220;1.051050;1.051070;0
20170102 034200;1.051080;1.051280;1.050960;1.051250;0
20170102 034300;1.051250;1.051290;1.050960;1.051040;0
20170102 034400;1.051070;1.051320;1.050980;1.051030;0
20170102 034500;1.051010;1.051060;1.050760;1.050800;0
20170102 034600;1.050820;1.050890;1.050760;1.050890;0
20170102 034700;1.050890;1.050930;1.050820;1.050850;0
20170102 034800;1.050820;1.050890;1.050800;1.050860;0
20170102 034900;1.050860;1.050910;1.050780;1.050820;0
20170102 035000;1.050820;1.050880;1.050810;1.050850;0
20170102 035100;1.050860;1.050870;1.050770;1.050810;0
20170102 035200;1.050790;1.050800;1.050700;1.050750;0
20170102 035300;1.050750;1.050870;1.050730;1.050780;0
20170102 035400;1.050800;1.050820;1.050710;1.050720;0
20170102 035500;1.050750;1.050750;1.050690;1.050740;0
20170102 035600;1.050750;1.050810;1.050690;1.050690;0
20170102 035700;1.050700;1.050700;1.049870;1.049900;0
20170102 035800;1.049900;1.049900;1.048650;1.049270;0
20170102 035900;1.049290;1.049320;1.048790;1.048880;0
20170102 040000;1.048890;1.049210;1.048870;1.049010;0
20170102 040100;1.049040;1.049210;1.048100;1.048180;0
20170102 040200;1.048110;1.048130;1.047830;1.047870;0
20170102 040300;1.047870;1.047970;1.047640;1.047890;0
20170102 040400;1.047890;1.047890;1.047650;1.047650;0
20170102 040500;1.047650;1.047800;1.047650;1.047780;0
20170102 040600;1.047790;1.047930;1.047780;1.047870;0
20170102 040700;1.047900;1.047940;1.047870;1.047910;0
20170102 040800;1.048010;1.048160;1.047950;1.047990;0
20170102 040900;1.047990;1.048040;1.047880;1.047880;0
20170102 041000;1.047880;1.048160;1.047880;1.048140;0
20170102 041100;1.048130;1.048150;1.047960;1.048010;0
20170102 041200;1.048000;1.048020;1.047750;1.047960;0
20170102 041300;1.047950;1.048020;1.047830;1.048000;0
20170102 041400;1.048020;1.048020;1.047890;1.047900;0
20170102 041500;1.047930;1.048280;1.047900;1.048210;0
20170102 041600;1.048080;1.048220;1.047990;1.048140;0
20170102 041700;1.048120;1.048210;1.047970;1.048200;0
20170102 041800;1.048200;1.048260;1.048030;1.048040;0
20170102 041900;1.048060;1.048270;1.047960;1.048240;0
20170102 042000;1.048250;1.048310;1.048160;1.048160;0
20170102 042100;1.048200;1.048320;1.048070;1.048210;0
20170102 042200;1.048220;1.048240;1.048130;1.048150;0
20170102 042300;1.048180;1.048250;1.048120;1.048230;0
20170102 042400;1.048240;1.048270;1.048190;1.048230;0
20170102 042500;1.048240;1.048320;1.048140;1.048280;0
20170102 042600;1.048260;1.048290;1.048120;1.048170;0
20170102 042700;1.048150;1.048220;1.048110;1.048170;0
20170102 042800;1.048170;1.048220;1.048130;1.048160;0
20170102 042900;1.048160;1.048210;1.048110;1.048200;0
20170102 043000;1.048180;1.048260;1.048140;1.048260;0
20170102 043100;1.048250;1.048290;1.048240;1.048250;0
20170102 043200;1.048230;1.048250;1.048220;1.048230;0
20170102 043300;1.048220;1.048260;1.048160;1.048260;0
20170102 043400;1.048260;1.048440;1.048260;1.048370;0
20170102 043500;1.048360;1.048750;1.048360;1.048740;0
20170102 043600;1.048740;1.048940;1.048690;1.048880;0
20170102 043700;1.048900;1.048910;1.048830;1.048840;0
20170102 043800;1.048820;1.048820;1.048730;1.048790;0
20170102 043900;1.048790;1.048810;1.048790;1.048800;0
20170102 044000;1.048790;1.048920;1.048670;1.048830;0
20170102 044100;1.048840;1.048880;1.048700;1.048850;0
20170102 044200;1.048850;1.048870;1.048680;1.048700;0
20170102 044300;1.048740;1.048760;1.048720;1.048730;0
20170102 044400;1.048740;1.048800;1.048730;1.048740;0
20170102 044500;1.048760;1.048830;1.048760;1.048830;0
20170102 044600;1.048840;1.048860;1.048660;1.048660;0
20170102 044700;1.048650;1.048670;1.048570;1.048650;0
20170102 044800;1.048620;1.048770;1.048620;1.048770;0
20170102 044900;1.048750;1.048770;1.048630;1.048740;0
20170102 045000;1.048680;1.048730;1.048630;1.048630;0
20170102 045100;1.048620;1.048870;1.048610;1.048850;0
20170102 045200;1.048810;1.048850;1.048620;1.048650;0
20170102 045300;1.048650;1.048680;1.048570;1.048570;0
20170102 045400;1.048580;1.048660;1.048570;1.048660;0
20170102 045500;1.048630;1.048680;1.048630;1.048670;0
20170102 045600;1.048660;1.048670;1.048590;1.048630;0
20170102 045700;1.048640;1.048680;1.048630;1.048670;0
20170102 045800;1.048670;1.048700;1.048640;1.048680;0
20170102 045900;1.048680;1.048740;1.048600;1.048650;0
20170102 050000;1.048660;1.048770;1.048560;1.048590;0
20170102 050100;1.048590;1.048630;1.048550;1.048570;0
20170102 050200;1.048560;1.048610;1.048500;1.048530;0
20170102 050300;1.048520;1.048630;1.048500;1.048530;0
20170102 050400;1.048530;1.048570;1.048520;1.048540;0
20170102 050500;1.048540;1.048590;1.048520;1.048590;0
20170102 050600;1.048670;1.048690;1.048660;1.048690;0
20170102 050700;1.048690;1.048690;1.048600;1.048610;0
20170102 050800;1.048680;1.048690;1.048680;1.048690;0
20170102 050900;1.048680;1.048720;1.048680;1.048690;0
20170102 051000;1.048690;1.048850;1.048680;1.048850;0
20170102 051100;1.048850;1.048910;1.048750;1.048800;0
20170102 051200;1.048800;1.048810;1.048650;1.048670;0
20170102 051300;1.048680;1.048800;1.048660;1.048800;0
20170102 051400;1.048790;1.048860;1.048730;1.048860;0
20170102 051500;1.048840;1.048860;1.048730;1.048760;0
